manufacturer,model,year,would_recommend,comfort,performance,fuel_efficiency,safety,technology
Acura,Model 3,2023,1,10,6,10,4,3
Cadillac,Model 4,2019,0,10,10,6,6,4
Honda,Model 1,2023,0,9,5,10,5,7
Subaru,Model 1,2021,0,5,4,6,6,4
Chrysler,Model 5,2016,0,5,9,8,6,6
Chrysler,Model 3,2018,0,10,8,6,6,10
Ford,Model 5,2016,1,4,7,4,6,3
Rolls-Royce,Model 4,2022,0,6,9,10,7,4
Morgan,Model 3,2017,0,7,10,5,7,10
BMW,Model 1,2017,1,6,9,6,9,9
Ford,Model 3,2021,0,9,8,7,10,10
Mercedes-Benz,Model 1,2023,1,5,3,3,8,8
BAC,Model 5,2020,0,7,4,5,8,8
Alfa Romeo,Model 3,2023,1,6,3,6,4,4
Jaguar,Model 3,2017,0,9,3,6,7,5
BAC,Model 4,2017,0,6,6,4,9,9
Volkswagen,Model 3,2023,0,7,10,10,9,8
BAC,Model 1,2020,0,10,7,10,7,6
Porsche,Model 3,2019,0,9,6,5,3,5
Volkswagen,Model 3,2018,1,5,5,3,8,8
Fiat,Model 3,2022,0,3,6,8,3,7
McLaren,Model 5,2022,1,10,6,10,3,4
Pagani,Model 3,2021,1,8,7,6,5,9
Porsche,Model 2,2021,1,6,6,8,8,4
Cadillac,Model 1,2018,0,7,10,4,3,7
Infiniti,Model 3,2023,1,10,4,3,5,7
Bugatti,Model 3,2022,0,3,9,6,9,4
Toyota,Model 3,2017,1,7,4,4,4,3
Lamborghini,Model 3,2022,1,10,7,4,3,3
BMW,Model 2,2022,0,4,9,8,3,3
Hyundai,Model 3,2022,1,10,8,5,6,8
Lotus,Model 2,2020,0,3,3,7,5,4
Lincoln,Model 3,2018,1,9,10,7,7,5
Honda,Model 4,2022,0,8,3,5,8,6
Porsche,Model 1,2019,0,9,8,3,6,6
Jeep,Model 4,2017,0,7,10,10,6,10
Maserati,Model 2,2021,1,9,10,6,7,5
Ford,Model 5,2021,0,9,4,8,4,3
Aston Martin,Model 2,2023,1,4,10,6,7,3
Volvo,Model 4,2021,0,10,3,7,9,3
GMC,Model 5,2023,1,3,6,3,3,6
Porsche,Model 5,2019,0,3,4,5,9,10
Rimac,Model 5,2022,0,8,10,10,5,3
Lamborghini,Model 4,2018,1,3,5,6,9,9
GMC,Model 5,2015,0,8,4,10,10,3
Audi,Model 3,2021,1,5,6,6,6,4
Volkswagen,Model 4,2018,0,4,5,10,4,8
Subaru,Model 5,2016,1,6,8,10,3,3
McLaren,Model 1,2018,1,7,4,5,5,4
Dodge,Model 3,2023,0,4,9,8,8,9
Cadillac,Model 2,2015,0,8,7,7,7,6
Lexus,Model 1,2023,0,8,6,6,8,9
Alfa Romeo,Model 4,2021,1,6,8,10,4,8
Koenigsegg,Model 2,2018,0,6,4,3,7,4
Lincoln,Model 2,2017,0,4,8,6,10,8
BAC,Model 1,2016,0,8,6,8,3,4
Lamborghini,Model 2,2017,1,10,6,3,8,3
Smart,Model 5,2017,0,3,10,5,5,3
Tesla,Model 1,2019,1,7,4,6,3,10
Jeep,Model 3,2016,0,5,4,10,6,8
Audi,Model 5,2015,0,7,4,10,9,10
Bugatti,Model 2,2018,0,4,5,9,10,4
Lotus,Model 1,2022,0,9,10,5,8,4
Rimac,Model 1,2018,1,4,9,6,5,10
Acura,Model 3,2018,1,3,5,3,7,5
Pagani,Model 4,2019,1,9,7,10,10,9
Audi,Model 5,2022,1,4,3,3,8,5
Kia,Model 1,2016,0,3,10,5,7,3
Lincoln,Model 2,2016,1,10,4,7,8,3
Koenigsegg,Model 3,2015,1,5,5,8,5,3
Caterham,Model 4,2022,1,3,7,5,7,3
Land Rover,Model 4,2020,0,3,6,8,8,6
Mini,Model 3,2015,1,6,6,10,8,5
Pagani,Model 2,2016,0,3,8,4,5,5
BAC,Model 1,2023,0,9,3,3,8,8
Bentley,Model 2,2017,1,7,3,10,3,4
BMW,Model 4,2018,1,5,5,10,5,5
Smart,Model 3,2022,1,3,6,10,8,3
Mini,Model 5,2023,0,9,7,4,7,3
BMW,Model 3,2018,0,5,4,9,4,8
Mini,Model 4,2021,1,6,9,9,10,7
Aston Martin,Model 1,2022,0,9,8,5,10,4
Volvo,Model 2,2018,0,6,3,4,3,9
Lotus,Model 3,2016,0,6,7,9,8,5
Rolls-Royce,Model 4,2021,1,4,5,8,8,9
Subaru,Model 5,2021,1,5,4,3,5,9
Volvo,Model 4,2016,0,4,4,9,6,3
Chevrolet,Model 4,2017,0,4,7,4,4,10
Cadillac,Model 5,2020,1,8,10,10,5,9
Jaguar,Model 5,2017,0,6,3,6,8,7
Mitsubishi,Model 5,2020,0,5,8,7,10,8
Alfa Romeo,Model 5,2018,0,5,5,3,4,5
Buick,Model 1,2016,1,6,6,5,5,10
Volkswagen,Model 1,2020,0,5,5,3,8,5
Bentley,Model 4,2017,0,7,4,9,8,4
Kia,Model 3,2021,1,10,3,5,6,6
BAC,Model 4,2020,0,3,4,7,3,10
Nissan,Model 4,2020,0,10,8,3,6,7
Land Rover,Model 5,2019,1,3,10,3,5,3
Nissan,Model 3,2018,1,3,9,7,3,3
Lexus,Model 5,2017,1,4,9,10,4,8
McLaren,Model 3,2017,0,9,4,7,9,7
Morgan,Model 1,2023,0,8,7,5,4,7
Audi,Model 1,2018,0,10,7,5,7,5
Dodge,Model 4,2017,1,3,4,4,4,6
Koenigsegg,Model 3,2018,0,4,3,9,9,7
Honda,Model 5,2019,1,5,9,7,9,7
Jeep,Model 4,2021,0,6,5,4,5,7
BMW,Model 2,2016,0,7,8,8,4,9
Alfa Romeo,Model 2,2020,0,10,9,9,8,9
Audi,Model 2,2015,1,8,9,5,7,4
Alfa Romeo,Model 1,2022,1,3,4,4,7,9
Alfa Romeo,Model 2,2015,0,9,8,3,4,7
Rimac,Model 5,2017,0,8,7,8,8,7
Maserati,Model 3,2015,1,5,8,8,8,5
Mitsubishi,Model 2,2021,0,4,7,5,10,7
Honda,Model 1,2023,1,8,3,7,5,7
Tesla,Model 5,2022,0,6,7,10,4,4
Volkswagen,Model 2,2015,0,4,8,8,5,7
Koenigsegg,Model 3,2018,0,5,4,5,10,4
Lamborghini,Model 1,2021,0,4,10,4,3,7
Rolls-Royce,Model 3,2018,0,7,6,7,6,10
Nissan,Model 1,2021,0,4,5,3,4,8
Infiniti,Model 5,2016,0,8,10,9,4,6
Morgan,Model 2,2020,1,9,9,8,7,10
Porsche,Model 1,2021,0,7,8,3,10,4
Jeep,Model 2,2022,0,6,8,9,7,9
Caterham,Model 1,2020,0,7,10,7,8,10
Rimac,Model 2,2020,0,6,5,5,8,5
Volvo,Model 2,2019,0,10,7,7,9,9
Kia,Model 4,2020,1,6,5,9,9,4
Caterham,Model 5,2018,1,10,9,4,7,5
Mercedes-Benz,Model 2,2016,1,4,6,3,9,3
GMC,Model 5,2022,1,4,7,7,8,6
Bugatti,Model 5,2023,0,8,9,3,3,8
Ferrari,Model 1,2022,0,4,5,5,3,4
Subaru,Model 2,2021,0,10,6,4,4,5
Mini,Model 4,2019,0,7,6,8,5,6
Kia,Model 1,2021,0,5,5,7,6,10
Subaru,Model 2,2023,1,3,3,4,8,10
Tesla,Model 5,2022,1,4,9,9,9,3
Infiniti,Model 3,2018,1,3,10,5,10,5
Subaru,Model 4,2015,1,5,4,4,5,3
Subaru,Model 5,2020,0,4,9,9,7,10
BMW,Model 3,2023,0,4,4,4,6,3
Mercedes-Benz,Model 4,2020,0,9,5,7,6,10
Ferrari,Model 3,2016,1,8,7,6,9,10
Lamborghini,Model 5,2022,0,5,10,10,10,8
Alfa Romeo,Model 3,2016,1,4,6,4,4,9
Bentley,Model 2,2021,1,10,7,9,4,7
Aston Martin,Model 5,2017,0,4,7,10,5,8
Jaguar,Model 4,2016,0,5,7,4,5,6
BAC,Model 5,2015,1,8,10,6,6,8
Buick,Model 5,2017,1,7,7,8,6,4
McLaren,Model 5,2016,0,4,6,5,3,8
Rolls-Royce,Model 5,2018,1,9,5,9,8,8
Jaguar,Model 5,2023,0,6,10,8,3,7
BMW,Model 2,2016,0,4,5,5,8,10
Genesis,Model 3,2023,1,6,7,4,5,5
BAC,Model 4,2023,1,9,4,6,8,6
Lexus,Model 5,2023,0,6,8,7,9,4
Hyundai,Model 1,2015,0,6,10,9,9,7
Pagani,Model 5,2018,1,9,3,5,10,6
Dodge,Model 1,2022,0,8,7,7,3,7
Aston Martin,Model 1,2015,0,6,3,4,8,7
Bentley,Model 1,2017,0,9,10,6,4,10
Nissan,Model 2,2018,0,5,7,3,8,6
Genesis,Model 1,2020,0,9,4,8,5,9
Subaru,Model 3,2017,1,5,8,6,4,4
Volvo,Model 1,2022,1,3,5,6,10,3
Infiniti,Model 3,2018,1,3,10,8,5,6
Lamborghini,Model 2,2021,0,4,7,10,5,8
Jeep,Model 3,2020,1,3,9,7,3,10
Volvo,Model 5,2023,0,9,6,10,8,9
Koenigsegg,Model 4,2022,1,5,9,4,6,3
Cadillac,Model 1,2016,1,3,9,9,10,6
Audi,Model 1,2016,0,4,8,5,3,9
Infiniti,Model 2,2016,0,6,5,7,8,4
Volkswagen,Model 5,2018,1,8,10,8,8,8
Lamborghini,Model 3,2023,1,8,9,7,5,5
BAC,Model 5,2016,1,9,9,10,8,10
Genesis,Model 4,2020,1,6,9,5,7,7
Smart,Model 2,2018,0,4,5,6,6,10
BAC,Model 2,2017,0,4,6,9,6,5
Genesis,Model 2,2020,1,3,6,6,4,6
Ford,Model 2,2015,0,6,3,4,3,3
Acura,Model 5,2022,0,5,4,5,3,7
Jaguar,Model 1,2016,0,4,9,4,10,5
Jeep,Model 4,2015,1,9,6,8,4,10
Toyota,Model 4,2020,0,7,4,7,4,4
Caterham,Model 2,2017,1,9,3,5,5,8
Ferrari,Model 4,2021,1,10,5,6,9,9
Rolls-Royce,Model 2,2017,0,9,5,4,4,10
Mitsubishi,Model 3,2020,0,9,5,6,3,8
Bugatti,Model 1,2015,1,9,9,10,9,5
Ariel,Model 4,2021,0,5,3,7,5,3
Rimac,Model 4,2015,0,8,6,4,3,10
Lotus,Model 1,2015,0,5,6,3,4,6
McLaren,Model 1,2018,0,6,4,4,4,7
GMC,Model 2,2023,0,5,10,8,8,5
Lamborghini,Model 1,2023,1,6,9,8,4,7
Smart,Model 2,2018,0,4,5,6,5,7
Fiat,Model 2,2016,1,7,4,10,7,6
Koenigsegg,Model 2,2016,1,10,7,6,8,3
Mitsubishi,Model 3,2017,1,9,6,9,3,9
Ferrari,Model 1,2022,1,8,5,9,9,10
BMW,Model 3,2015,0,5,6,3,6,4
GMC,Model 1,2016,0,7,10,10,3,9
Rolls-Royce,Model 4,2015,0,9,5,10,10,5
Bentley,Model 5,2017,0,9,7,3,3,4
Rolls-Royce,Model 4,2015,0,7,5,5,4,9
Maserati,Model 3,2021,0,9,4,8,6,3
Ferrari,Model 1,2020,0,3,5,6,4,3
GMC,Model 4,2016,0,10,6,10,8,3
Koenigsegg,Model 1,2015,1,9,6,3,8,3
Buick,Model 3,2019,0,6,10,3,10,4
Aston Martin,Model 3,2016,0,6,6,8,6,8
Cadillac,Model 4,2018,1,7,5,6,9,6
Jaguar,Model 4,2021,0,6,7,7,8,3
Subaru,Model 1,2016,1,10,3,5,4,9
Nissan,Model 2,2015,0,9,3,4,7,6
Bentley,Model 3,2022,1,9,7,6,3,9
Bugatti,Model 4,2019,0,4,3,4,5,9
Toyota,Model 2,2018,1,10,9,9,4,6
Bugatti,Model 3,2019,0,5,6,8,4,9
Lamborghini,Model 5,2020,0,7,3,6,8,6
Lamborghini,Model 5,2019,0,6,6,6,10,9
Mazda,Model 3,2023,1,6,9,7,10,10
Infiniti,Model 4,2017,1,9,8,3,10,7
Ford,Model 3,2022,1,6,10,6,4,8
Lotus,Model 2,2023,0,10,6,7,10,4
Koenigsegg,Model 4,2015,1,4,6,9,3,9
Honda,Model 3,2016,1,3,7,9,8,10
Volkswagen,Model 3,2016,1,9,10,3,3,6
Honda,Model 1,2021,1,3,3,10,5,3
Mini,Model 1,2023,1,7,8,7,7,5
Ferrari,Model 5,2015,1,7,9,10,5,3
Lexus,Model 3,2022,0,6,3,6,5,3
Toyota,Model 3,2018,1,3,5,9,4,4
Caterham,Model 1,2019,0,3,4,7,8,10
Lotus,Model 2,2023,0,3,3,9,7,3
Chrysler,Model 2,2022,1,10,4,7,10,3
Buick,Model 1,2015,1,6,9,10,5,5
Bugatti,Model 1,2017,1,3,9,5,5,5
Fiat,Model 5,2017,1,6,3,6,8,3
BMW,Model 2,2017,1,4,8,9,9,9
Chrysler,Model 4,2015,0,3,7,10,7,6
Ariel,Model 1,2018,1,9,7,7,4,3
Caterham,Model 5,2021,1,7,7,5,3,4
Bugatti,Model 2,2016,0,3,4,6,9,5
Koenigsegg,Model 4,2023,0,6,3,6,8,9
Ford,Model 5,2020,1,3,6,6,8,4
Jaguar,Model 5,2020,1,6,3,8,4,10
Acura,Model 3,2017,0,10,6,3,7,4
Koenigsegg,Model 1,2021,1,8,6,5,4,9
Mini,Model 3,2016,0,10,7,9,10,7
Lexus,Model 5,2018,0,4,6,6,6,8
Lexus,Model 1,2018,1,7,5,6,7,10
Cadillac,Model 5,2017,0,7,3,10,5,8
Mitsubishi,Model 2,2020,0,8,6,5,3,10
Jeep,Model 2,2017,1,5,6,8,10,10
Bentley,Model 4,2019,1,9,7,9,6,6
Tesla,Model 5,2023,0,4,3,3,8,4
Mazda,Model 3,2016,0,8,6,5,9,3
Fiat,Model 3,2016,1,4,6,3,9,4
Dodge,Model 4,2022,1,10,4,8,4,3
Cadillac,Model 4,2018,0,5,3,5,5,4
Alfa Romeo,Model 2,2018,0,6,6,4,3,9
Lamborghini,Model 5,2022,1,5,4,4,9,5
Bentley,Model 3,2019,1,10,8,9,6,10
Aston Martin,Model 2,2023,0,4,5,4,5,7
Mini,Model 5,2020,1,9,9,9,9,6
Bugatti,Model 3,2017,0,4,4,8,8,9
Honda,Model 3,2023,1,4,8,10,9,8
Mini,Model 1,2019,1,5,3,7,9,4
Lincoln,Model 4,2019,0,4,9,6,4,8
Rimac,Model 5,2021,0,6,9,5,4,10
Rolls-Royce,Model 5,2015,0,7,9,6,7,3
Dodge,Model 5,2021,0,6,9,10,6,10
Mini,Model 1,2021,1,8,9,9,5,4
Lamborghini,Model 1,2023,0,4,7,7,6,7
Alfa Romeo,Model 4,2017,1,5,10,9,9,9
Toyota,Model 3,2020,0,8,4,8,10,10
Audi,Model 3,2019,0,8,3,3,5,4
BAC,Model 3,2020,0,7,4,6,6,3
Dodge,Model 1,2019,0,7,7,5,10,9
Volkswagen,Model 3,2016,1,3,9,4,9,9
Land Rover,Model 3,2015,0,9,10,3,4,3
Dodge,Model 4,2020,1,4,10,4,4,7
Infiniti,Model 2,2017,0,5,6,8,8,9
Aston Martin,Model 4,2017,1,7,6,7,10,8
Lexus,Model 2,2019,0,6,9,5,5,10
Mini,Model 2,2018,1,9,4,6,3,4
Volkswagen,Model 1,2016,0,7,8,4,4,5
Bugatti,Model 5,2018,1,6,10,3,6,7
Koenigsegg,Model 3,2015,1,3,3,10,4,7
Rimac,Model 2,2022,0,7,9,3,10,10
Jaguar,Model 5,2021,0,6,5,8,9,3
Genesis,Model 3,2015,1,3,8,4,6,10
Hyundai,Model 4,2020,1,3,8,3,6,7
Rimac,Model 3,2018,1,5,3,6,3,10
Audi,Model 3,2016,1,6,7,3,7,4
GMC,Model 2,2019,0,10,9,7,5,5
Ferrari,Model 2,2017,0,7,4,8,8,9
Bentley,Model 2,2022,1,5,4,8,5,9
